DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1370/afm.2121,28893811,,Tethered to the EHR: Primary Care Physician Workload Assessment Using EHR Event Log Data and Time-Motion Observations,"PURPOSE  Primary care physicians spend nearly 2 hours on electronic health record (EHR) tasks per hour of direct patient care. Demand for non–face-to-face care, such as communication through a patient portal and administrative tasks, is increasing and contributing to burnout. The goal of this study was to assess time allocated by primary care physicians within the EHR as indicated by EHR user-event log data, both during clinic hours (defined as 8:00 am to 6:00 pm Monday through Friday) and outside clinic hours.  METHODS  We conducted a retrospective cohort study of 142 family medicine physicians in a single system in southern Wisconsin. All Epic (Epic Systems Corporation) EHR interactions were captured from “event logging” records over a 3-year period for both direct patient care and non–face-to-face activities, and were validated by direct observation. EHR events were assigned to 1 of 15 EHR task categories and allocated to either during or after clinic hours.  RESULTS  Clinicians spent 355 minutes (5.9 hours) of an 11.4-hour workday in the EHR per weekday per 1.0 clinical full-time equivalent: 269 minutes (4.5 hours) during clinic hours and 86 minutes (1.4 hours) after clinic hours. Clerical and administrative tasks including documentation, order entry, billing and coding, and system security accounted for nearly one-half of the total EHR time (157 minutes, 44.2%). Inbox management accounted for another 85 minutes (23.7%).  CONCLUSIONS  Primary care physicians spend more than one-half of their workday, nearly 6 hours, interacting with the EHR during and after clinic hours. EHR event logs can identify areas of EHR-related work that could be delegated, thus reducing workload, improving professional satisfaction, and decreasing burnout. Direct time-motion observations validated EHR-event log data as a reliable source of information regarding clinician time allocation.","Brian Arndt,John W. Beasley,Michelle D. Watkinson,Jonathan L. Temte,Wen-Jan Tuan,Christine A. Sinsky,Valerie J. Gilchrist",Annals of Family Medicine,2017
10.7326/m14-2128,25581028,,Clinical documentation in the 21st century: executive summary of a policy position paper from the American College of Physicians.,"Clinical documentation was developed to track a patient's condition and communicate the author's actions and thoughts to other members of the care team. Over time, other stakeholders have placed additional requirements on the clinical documentation process for purposes other than direct care of the patient. More recently, new information technologies, such as electronic health record (EHR) systems, have led to further changes in the clinical documentation process. Although computers and EHRs can facilitate and even improve clinical documentation, their use can also add complexities; new challenges; and, in the eyes of some, an increase in inappropriate or even fraudulent documentation. At the same time, many physicians and other health care professionals have argued that the quality of the systems being used for clinical documentation is inadequate. The Medical Informatics Committee of the American College of Physicians has undertaken this review of clinical documentation in an effort to clarify the broad range of complex and interrelated issues surrounding clinical documentation and to suggest a path forward such that care and clinical documentation in the 21st century best serve the needs of patients and families.","Thomson Kuhn,Peter Basch,Michael S. Barr,Thomas Yackel,Thomas R. Yackel",Annals of Internal Medicine,2015
10.1093/jamia/ocv066,26024883,,Report of the AMIA EHR-2020 Task Force on the status and future direction of EHRs,"Over the last 5 years, stimulated by the changing healthcare environment and the Health Information Technology for Economic and Clinical Health (HITECH) Meaningful Use (MU) Electronic Health Record (EHR) Incentive program, EHR adoption has increased remarkably, and there is early evidence that such adoption has resulted in healthcare safety and quality benefits.1,2 However, with this broad adoption, many clinicians are voicing concerns that EHR use has had unintended clinical consequences, including reduced time for patient-clinician interaction,3 new and burdensome data entry tasks being transferred to front-line clinicians,4,5 and lengthened clinician workdays.6–8 Additionally, interoperability between different EHR systems has languished despite large efforts towards that goal.9,10 These challenges are contributing to physicians’ decreased satisfaction with their work lives.11–13 In professional journals,14 press reports,15–17 on wards, and in clinics, we have heard of the difficulties that the transition from paper records to EHRs has created.18 As a result, clinicians are seeking help to get through their work days, which often extend into evenings devoted to writing notes. Examples of comments we have received from clinicians and patients include: “Computers always make things faster and cheaper. Not this time,” and “My doctor pays more attention to the computer than to me.”

Ultimately the healthcare system's goal is to create a robust, integrated, and interoperable healthcare system that includes patients, physician practices, public health, population management, and support for clinical and basic sciences research. This ecosystem has been referred to as the “learning health system.”19 EHRs are an important part of the learning health system, along with many other clinical systems, but future ways in which information is transformed into knowledge will likely require all parts of the system working together. Potentially every patient encounter could present an …","Thomas H. Payne,Sarah Corley,Theresa Cullen,Tejal K. Gandhi,Linda Harrington,Gilad J. Kuperman,John E. Mattison,David P. McCallie,Clement J. McDonald,Paul C. Tang,William M. Tierney,Charlotte A. Weaver,Charlene R. Weir,Michael H. Zaroukian",J. Am. Medical Informatics Assoc.,2015
10.1093/jamiaopen/ooy016,31093606,,The electronic elephant in the room: Physicians and the electronic health record.,"Objectives
Determine the specific aspects of health information and communications technologies (HICT), including electronic health records (EHRs), most associated with physician burnout, and identify effective coping strategies.","Philip J Kroth,Nancy Morioka-Douglas,Sharry Veres,Katherine Pollock,Stewart Babbott,Sara Poplau,Katherine Corrigan,Mark Linzer",JAMIA Open,2018
10.1016/j.ajem.2016.07.056,27534432,,"Effect of scribes on patient throughput, revenue, and patient and provider satisfaction: a systematic review and meta-analysis","Abstract   Background  Scribes offer a potential solution to the clerical burden and time constraints felt by health care providers.    Objectives  This is a systematic review and meta-analysis to evaluate scribe effect on patient throughput, revenue, and patient and provider satisfaction.    Methods  Six electronic databases were systematically searched from inception until May 2015. We included studies where clinicians used a scribe. We collected throughput metrics, billing data, and patient/provider satisfaction data. Meta-analyses were conducted using a random effects model and mean differences (MDs) with 95% confidence intervals (CIs) with adherence to the Preferred Reporting Items for Systematic Reviews and Meta-Analysis statement.    Results  From a total of 210 titles, 17 studies were eligible and included. Qualitative analysis suggests improvement in provider/patient satisfaction. Meta-analysis on throughput data was derived from 3 to 5 studies depending on the metric; meta-analysis revealed no impact of scribes on length of stay (346 minutes for scribes, 344 minutes for nonscribed; MD −1.6 minutes, 95% CI −22.3 to 19.2 minutes) or provider-to-disposition time (235 minutes for scribes, 216 for nonscribed; MD −18.8 minutes, 95% CI −22.3 to 19.2) with an increase in patients seen per hour (0.17 more patient per hour; 95% CI 0.02-32). Two studies reported relative value units, which increased 0.21 (95% CI 0-0.42) per patient with scribe use.    Conclusion  We found no difference in length of stay or time to disposition with a small increase in the number of patients per hour seen when using scribes. Potential benefits include revenue and patient/provider satisfaction.","Heather A. Heaton,Ana Castaneda-Guarderas,Elliott R. Trotter,Patricia J. Erwin,Patricia J. Erwin,Patricia J. Erwin,M. Fernanda Bellolio",American Journal of Emergency Medicine,2016
10.1016/j.ijmedinf.2013.05.008,23770027,,Unintended adverse consequences of introducing electronic health records in residential aged care homes,"Abstract   Purpose  The aim of this study was to investigate the unintended adverse consequences of introducing electronic health records (EHR) in residential aged care homes (RACHs) and to examine the causes of these unintended adverse consequences.    Method  A qualitative interview study was conducted in nine RACHs belonging to three organisations in the Australian Capital Territory (ACT), New South Wales (NSW) and Queensland, Australia. A longitudinal investigation after the implementation of the aged care EHR systems was conducted at two data points: January 2009 to December 2009 and December 2010 to February 2011. Semi-structured interviews were conducted with 110 care staff members identified through convenience sampling, representing all levels of care staff who worked in these facilities. Data analysis was guided by DeLone and McLean Information Systems Success Model, in reference with the previous studies of unintended consequences for the introduction of computerised provider order entry systems in hospitals.    Results  Eight categories of unintended adverse consequences emerged from 266 data items mentioned by the interviewees. In descending order of the number and percentage of staff mentioning them, they are: inability/difficulty in data entry and information retrieval, end user resistance to using the system, increased complexity of information management, end user concerns about access, increased documentation burden, the reduction of communication, lack of space to place enough computers in the work place and increasing difficulties in delivering care services. The unintended consequences were caused by the initial conditions, the nature of the EHR system and the way the system was implemented and used by nursing staff members.    Conclusions  Although the benefits of the EHR systems were obvious, as found by our previous study, introducing EHR systems in RACH can also cause adverse consequences of EHR avoidance, difficulty in access, increased complexity in information management, increased documentation burden, reduction of communication and the risks of lacking care follow-up, which may cause negative effects on aged care services. Further research can focus on investigating how the unintended adverse consequences can be mitigated or eliminated by understanding more about nursing staff's work as well as the information flow in RACH. This will help to improve the design, introduction and management of EHR systems in this setting.","Ping Yu,Yiting Zhang,Yang Gong,Jianjia Zhang",International Journal of Medical Informatics,2013
10.1007/s40746-019-00147-6,31632895,,Organizational factors affecting physician well-being.,"Symptoms of burnout affect approximately half of pediatricians and pediatric subspecialists at any given time, with similarly concerning prevalence of other aspects of physician distress, including fatigue, depressive symptoms, and suicidal ideation. Physician well-being affects quality of care, patient satisfaction, and physician turnover. Organizational factors influence well-being, stressing the need for organizations to address this epidemic. Organizational characteristics, policies, and culture influence physician well-being, and specific strategies may support an environment where physicians thrive. We highlight four organizational opportunities to improve physician well-being: developing leaders, cultivating community and organizational culture, improving practice efficiency, and optimizing administrative policies. Leaders play a key role in aligning organizational and individual values, promoting professional fulfillment, and fostering a culture of collegiality and social support among physicians. Reducing documentation burden and improving practice efficiency may help balance job demands and resources. Finally, reforming administrative policies may reduce work-home conflict, support physician’s efforts to attend to their own well-being, and normalize use of supportive resources. Physician well-being is critical to organizational success, sustainment of an adequate workforce, and optimal patient outcomes. Because burnout is primarily influenced by organizational factors, organizational interventions are key to promoting well-being. Developing supportive leadership, fostering a culture of wellness, optimizing practice efficiency, and improving administrative policies are worthy of organizational action and further research.","Daniel S. Tawfik,Jochen Profit,Sarah Webber,Tait D. Shanafelt",Current Treatment Options in Pediatrics,2019
10.1055/s-0037-1615747,29342479,,Time Spent on Dedicated Patient Care and Documentation Tasks Before and After the Introduction of a Structured and Standardized Electronic Health Record.,"BackgroundPhysicians spend around 35% of their time documenting patient data. They are concerned that adopting a structured and standardized electronic health record (EHR) will lead to more time documenting and less time for patient care, especially during consultations.     ObjectiveThis study measures the effect of the introduction of a structured and standardized EHR on documentation time and time for dedicated patient care during outpatient consultations.     MethodsWe measured physicians' time spent on four task categories during outpatient consultations: documentation, patient care, peer communication, and other activities. Physicians covered various specialties from two university hospitals that jointly implemented a structured and standardized EHR. Preimplementation, one hospital used a legacy-EHR, and one primarily paper-based records. The same physicians were observed 2 to 6 months before and 6 to 8 months after implementation.   We analyzed consultation duration, and percentage of time spent on each task category. Differences in time distribution before and after implementation were tested using multilevel linear regression.     ResultsWe observed 24 physicians (162 hours, 439 consultations). We found no significant difference in consultation duration or number of consultations per hour. In the legacy-EHR center, we found the implementation associated with a significant decrease in time spent on dedicated patient care (−8.5%). In contrast, in the previously paper-based center, we found a significant increase in dedicated time spent on documentation (8.3%) and decrease in time on combined patient care and documentation (−4.6%). The effect on dedicated documentation time significantly differed between centers.     ConclusionImplementation of a structured and standardized EHR was associated with 8.5% decrease in time for dedicated patient care during consultations in one center and 8.3% increase in dedicated documentation time in another center. These results are in line with physicians' concerns that the introduction of a structured and standardized EHR might lead to more documentation burden and less time for dedicated patient care.","Erik Joukes,Ameen Abu-Hanna,Ameen Abu-Hanna,A. Abu-Hanna,Ronald Cornet,Nicolette F. de Keizer,Nicolette F. de Keizer,Nicolette F. de Keizer",Applied Clinical Informatics,2018
10.1377/hlthaff.2020.00612,32744939,,"Practice And Policy Reset Post-COVID-19: Reversion, Transition, Or Transformation?","Clinical care in the United States has been transformed during the coronavirus disease 2019 (COVID-19) pandemic. To support these changes, regulators and payers have temporarily modified long-standing policies, recognizing the need for a trade-off between the costs and benefits of oversight during times of crisis. Specifically, there has been a heightened receptivity to the importance of preserving physicians' and other health care professionals' time, cognitive bandwidth, and emotional reserve for the direct care of patients, instead of squandering these resources on low-value tasks and frustrating technology. Instead of reflexively reverting to past practices and policies, there is now an opportunity to take advantage of the lessons of COVID-19 for the further transformation of health care to achieve Quadruple Aim outcomes (better care for individuals, better health for the population, better experience for clinicians, and lower costs). We outline some of the policy and practice changes that we believe should endure after the crisis has passed, and we recommend using similar logic during noncrisis times to make additional changes to further reduce administrative burden, and thus improve patient care.","Christine A. Sinsky,Mark Linzer",Health Affairs,2020
10.3233/shti190415,31438114,,The Burden and Burnout in Documenting Patient Care: An Integrative Literature Review.,"The implementation of the electronic health record (EHR) across the globe has increased significantly in the last decade. Motivations for this trend include patient safety, regulatory requirements, and healthcare cost containment. However, the impact of regulatory requirements and new EHRs on clinicians has increased the incidence of documentation burden and may lead to burnout syndrome. It is important to understand the extent of documentation burden and potential solutions such as EHR user-interface redesign and the use of scribes to assist healthcare providers across the world.","Emily Gesner,Emily Gesner,Priscilla K. Gazarian,Patricia C. Dykes",Studies in health technology and informatics,2019
