DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1055/s-0042-1746169,35545125,,25 × 5 Symposium to Reduce Documentation Burden: Report-out and Call for Action,"Abstract Background The widespread adoption of electronic health records and a simultaneous increase in regulatory demands have led to an acceleration of documentation requirements among clinicians. The corresponding burden from documentation requirements is a central contributor to clinician burnout and can lead to an increased risk of suboptimal patient care. Objective To address the problem of documentation burden, the 25 by 5: Symposium to Reduce Documentation Burden on United States Clinicians by 75% by 2025 (Symposium) was organized to provide a forum for experts to discuss the current state of documentation burden and to identify specific actions aimed at dramatically reducing documentation burden for clinicians. Methods The Symposium consisted of six weekly sessions with 33 presentations. The first four sessions included panel presentations discussing the challenges related to documentation burden. The final two sessions consisted of breakout groups aimed at engaging attendees in establishing interventions for reducing clinical documentation burden. Steering Committee members analyzed notes from each breakout group to develop a list of action items. Results The Steering Committee synthesized and prioritized 82 action items into Calls to Action among three stakeholder groups: Providers and Health Systems, Vendors, and Policy and Advocacy Groups. Action items were then categorized into as short-, medium-, or long-term goals. Themes that emerged from the breakout groups' notes include the following: accountability, evidence is critical, education and training, innovation of technology, and other miscellaneous goals (e.g., vendors will improve shared knowledge databases). Conclusion The Symposium successfully generated a list of interventions for short-, medium-, and long-term timeframes as a launching point to address documentation burden in explicit action-oriented ways. Addressing interventions to reduce undue documentation burden placed on clinicians will necessitate collaboration among all stakeholders.","Mollie Hobensack,Deborah R Levy,Kenrick Cato,Don E Detmer,Kevin B Johnson,Jeffrey Williamson,Judy Murphy,Amanda Moy,Jennifer Withall,Rachel Lee,Sarah Collins Rossetti,Samuel Trent Rosenbloom",Applied Clinical Informatics,2022
10.1093/jamia/ocab272,34897493,,Primary care physicians' electronic health record proficiency and efficiency behaviors and time interacting with electronic health records: a quantile regression analysis.,"This study aimed to understand the association between primary care physician (PCP) proficiency with the electronic health record (EHR) system and time spent interacting with the EHR.We examined the use of EHR proficiency tools among PCPs at one large academic health system using EHR-derived measures of clinician EHR proficiency and efficiency. Our main predictors were the use of EHR proficiency tools and our outcomes focused on 4 measures assessing time spent in the EHR: (1) total time spent interacting with the EHR, (2) time spent outside scheduled clinical hours, (3) time spent documenting, and (4) time spent on inbox management. We conducted multivariable quantile regression models with fixed effects for physician-level factors and time in order to identify factors that were independently associated with time spent in the EHR.Across 441 primary care physicians, we found mixed associations between certain EHR proficiency behaviors and time spent in the EHR. Across EHR activities studied, QuickActions, SmartPhrases, and documentation length were positively associated with increased time spent in the EHR. Models also showed a greater amount of help from team members in note writing was associated with less time spent in the EHR and documenting.Examining the prevalence of EHR proficiency behaviors may suggest targeted areas for initial and ongoing EHR training. Although documentation behaviors are key areas for training, team-based models for documentation and inbox management require further study.A nuanced association exists between physician EHR proficiency and time spent in the EHR.","Oliver T Nguyen,Kea Turner,Nate C. Apathy,Tanja Magoc,Karim Hanna,Lisa J Merlo,Christopher A. Harle,Lindsay A Thompson,Eta S Berner,Sue S Feldman",Journal of the American Medical Informatics Association,2021
10.1055/s-0041-1731338,,,Which Strategies Improve Physicians' Experience with Health Information Technology?,"ObjectivesWhile electronic health records (EHRs) have improved billing efficiency and note legibility, they may also disrupt clinical workflows, affect patient interactions, and contribute to physician burnout. This study aimed to identify effective strategies, as reported by physicians, to mitigate these EHR shortcomings.     MethodsThe Rhode Island Department of Health administers a health information technology (HIT) survey biennially to all physicians in active practice statewide. The 2019 survey asked physicians about strategies implemented personally or by their practice to improve their experience working with HIT. Physicians who identified at least one strategy were then asked if each implemented strategy was “actually useful.”     ResultsThe 2019 survey was administered to 4,266 physicians, with a response rate of 43%. Both office- and hospital-based physicians most commonly reported that their practices had implemented voice-recognition dictation software (48 and 68%, respectively). Office- and hospital-based physicians identified self-care as the most commonly implemented personal change (48 and 47%, respectively). However, 26% of office-based and 15% of hospital-based physicians reported reducing clinical hours or working part-time to improve their experience working with HIT. The strategies identified as “actually useful” varied by practice setting and were not always the most widely implemented approaches.     ConclusionMost physicians reported that both they personally and their practices had implemented strategies to improve their experience with HIT. Physicians found some of these strategies more helpful than others, and the strategies identified as most useful differed between office- and hospital-based physicians. From a workforce and access perspective, prioritizing strategies that physicians find “actually useful” is critical, as many physicians in both settings reported reducing clinical hours to improve their experience.","Jacqueline Haskell,Brittany Mandeville,Emily Cooper,Rebekah Gardner",,2021
10.1093/jamia/ocab058,33871016,,"Health information technology and clinician burnout: Current understanding, emerging solutions, and future directions.",,"Eric G. Poon,S. Trent Rosenbloom,Kai Zheng",Journal of the American Medical Informatics Association,2021
,32308916,,An Interprofessional Approach to Clinical Workflow Evaluation Focused on the Electronic Health Record Using Time motion Study Methods.,": Documentation burden has become an increasing concern as the prevalence of electronic health records (EHRs) has grown. The implementation of a new EHR is an opportunity to measure and improve documentation burden, as well as assess the role of the EHR in clinician workflow. Time-motion observation is the preferred method for evaluating workflow. In this study, we developed and tested the reliability of an interprofessional taxonomy for use in time-motion observation of nursing and physician workflow before and after a new EHR is implemented at a large academic medical center. Inter-observer reliability assessment sessions were conducted while observing both nurses and physicians. Four out of five observers achieved reliability in an average of 5.75 sessions. Our developed taxonomy demonstrated to be reliable for conducting workflow evaluation of both nurses and physicians, with a focus on time and tasks in the EHR.","Jessica M. Schwartz,Jonathan Elias,Cody L Slater,Kenrick Cato,Sarah Collins Rossetti",,2020
10.1055/s-0042-1757157,36261113,,Documentation Burden in Nursing and Its Role in Clinician Burnout Syndrome,"Abstract Objectives The purpose of this study is to understand the relationship between documentation burden and clinician burnout syndrome in nurses working in direct patient care. The Office of the National Coordinator considers documentation burden a high priority problem. However, the presence of documentation burden in nurses working in direct patient care is not well known. Furthermore, the presence of documentation burden has not been linked to the development of clinician burnout syndrome. Methods This paper reports that the results of a cross-sectional survey study comprised of three tools: (1) The burden of documentation for nurses and mid-wives survey, (2) the system usability scale, and (3) Maslach's burnout inventory for medical professionals. Results Documentation burden has a weak to moderate correlation to clinician burnout syndrome. Furthermore, poor usability of the electronic health record (EHR) is also associated with documentation burden and clinician burnout syndrome. Conclusion This study suggests that there is a relationship between documentation burden and clinician burnout syndrome. The correlation of poor usability and domains of clinician burnout syndrome implies the need for more work on improving the usability of EHR for nursing documentation. Further study regarding the presence of documentation burden and its correlation to clinician burnout syndrome should focus on specific areas of nursing to understand the drivers of documentation burden variation within and across specialty domains.","Emily Gesner,Patricia C. Dykes,Lingling Zhang,Priscilla Gazarian",Applied Clinical Informatics,2022
10.1055/a-1868-6431,35668677,,Implementing Best Practices to Redesign Workflow and Optimize Nursing Documentation in the Electronic Health Record,"Background: Documentation burden associated with electronic health records (EHR) is well documented in the literature. Usability and functionality of the EHR are considered fragmented and disorganized making it difficult to synthesize clinical information. Few best practices are reported in the literature to support streamlining the configuration of documentation fields to align clinical workflow with EHR data entry elements. Objective: The primary objective was to improve performance, reduce duplication, and remove non-value-added tasks by redesigning the patient assessment template in the EHR using best practice approaches. Methods: A quality improvement approach and pre/post design was used to implement and evaluate best approaches to redesign standardized flowsheet documentation workflow. We implemented standards for usability modifications targeting efficiency, reducing redundancy and improving workflow navigation. The assessment type row was removed; a reassessment section was added to the first three flowsheet rows; and documentation practices were revised to document changes from the initial assessment by selecting the corresponding body system from the dropdown menu. Vendor-supplied timestamp data was used to evaluate documentation times. Video motion-time recording was used to capture click and scroll burden, defined as steps in documentation, and was analyzed using the Keystroke Level Model. Results: Results included an 18.5% decreased time in the EHR; decrease of 7-12% % total time in flowsheets; time savings of 1.5 to 6.5 minutes per reassessment per patient; and a decrease of 88-97% in number of steps to perform reassessment documentation. Conclusion: Workflow redesign to improve the usability and functionality decreased documentation time, redundancy, and click burden resulting in improved productivity. The time savings correlate to several hours per 12 hour shift which could be reallocated to value-added patient care activities. Revising documentation practices in alignment with redesign benefits staff by decreasing workload, improving quality, and satisfaction. Keywords: reassessment, documentation burden, electronic health records, workflow redesign","Mary Lindsay,Kay Lytle",Applied Clinical Informatics,2022
10.7759/cureus.26330,35911305,,Interfacing With the Electronic Health Record (EHR): A Comparative Review of Modes of Documentation,"Electronic health records (EHRs) have provided physicians with a systematic framework for collecting patient data, organizing notes from the healthcare team, and managing the daily workflow in the modern era of healthcare. Despite these advantages, EHRs have proven to be problematic for clinicians. The burdensome regulations requiring increased documentation with the EHR paradigm have led to inefficiencies from data-entry requirements forcing physicians to spend an inordinate amount of time on it, affecting the time available for direct patient care as well as leading to professional burnout. As a result, new modalities such as speech recognition, medical scribes, pre-made EHR templates, and digital scribes [a form of artificial intelligence (AI) based on ambient speech recognition] are increasingly being used to reduce charting time and increase the time available for patient care. The purpose of our review is to provide an up-to-date review of the literature on these modalities including their benefits and shortcomings, to help physicians and other medical professionals choose the best methods to document their patient-care encounters efficiently and effectively.","John P Avendano,Daniel O Gallagher,Joseph D Hawes,Joseph Boyle,Laurie Glasser,Jomar Aryee,Brian M Katt",Cureus,2022
10.1111/jep.13796,36416004,,Merit‐based incentive payment system participation and after‐hours documentation among US office‐based physicians: Findings from the 2021 National Electronic Health Records Survey,"After-hours documentation burden among US clinicians is often uncompensated work and has been associated with burnout, leading health systems to identify root causes and seek interventions to reduce this. A few studies have suggested quality programme participation (e.g., Merit-Based Incentive Payment System [MIPS]) was associated with a higher administrative burden. However, the association between MIPS participation and after-hours documentation has not been fully explored. Thus, this study aims to assess whether participation in the MIPS programme was independently associated with after-hours documentation burden.We used 2021 data from the National Electronic Health Records Survey. We used a multivariable ordinal logistic regression model to assess whether MIPS participation was associated with the amount of after-hours documentation burden when controlling for other factors. We controlled for physician age, specialty, sex, number of practice locations, number of physicians, practice ownership, whether team support (e.g., scribes) is used for documentation tasks, and whether the practice accepts Medicaid patients.We included 1801 office-based US physician respondents with complete data for variables of interest. After controlling for other factors, MIPS participation was associated with greater odds of spending a greater number of hours on after-hours documentation (odds ratio = 1.44, 95% confidence interval 1.06-1.95).MIPS participation may increase after-hours documentation burden among US office-based physicians, suggesting that physicians may require additional resources to more efficiently report data.","Oliver Nguyen,Kea Turner,Arpan Parekh,Amir Alishahi Tabriz,Karim Hanna,Lisa J. Merlo,Young‐Rock Hong",Journal of Evaluation in Clinical Practice,2022
10.1186/s12912-022-00811-7,35090442,,Nursing documentation and its relationship with perceived nursing workload: a mixed-methods study among community nurses,"Abstract Background The time that nurses spent on documentation can be substantial and burdensome. To date it was unknown if documentation activities are related to the workload that nurses perceive. A distinction between clinical documentation and organizational documentation seems relevant. This study aims to gain insight into community nurses’ views on a potential relationship between their clinical and organizational documentation activities and their perceived nursing workload. Methods A convergent mixed-methods design was used. A quantitative survey was completed by 195 Dutch community nurses and a further 28 community nurses participated in qualitative focus groups. For the survey an online questionnaire was used. Descriptive statistics, Wilcoxon signed-ranked tests, Spearman’s rank correlations and Wilcoxon rank-sum tests were used to analyse the survey data. Next, four qualitative focus groups were conducted in an iterative process of data collection - data analysis - more data collection, until data saturation was reached. In the qualitative analysis, the six steps of thematic analysis were followed. Results The majority of the community nurses perceived a high workload due to documentation activities. Although survey data showed that nurses estimated that they spent twice as much time on clinical documentation as on organizational documentation, the workload they perceived from these two types of documentation was comparable. Focus-group participants found organizational documentation particularly redundant. Furthermore, the survey indicated that a perceived high workload was not related to actual time spent on clinical documentation, while actual time spent on organizational documentation was related to the perceived workload. In addition, the survey showed no associations between community nurses’ perceived workload and the user-friendliness of electronic health records. Yet focus-group participants did point towards the impact of limited user-friendliness on their perceived workload. Lastly, there was no association between the perceived workload and whether the nursing process was central in the electronic health records. Conclusions Community nurses often perceive a high workload due to clinical and organizational documentation activities. Decreasing the time nurses have to spend specifically on organizational documentation and improving the user-friendliness and intercommunicability of electronic health records appear to be important ways of reducing the workload that community nurses perceive.","Kim de Groot,Anke J.E. de Veer,Anne M Munster,Anneke L. Francke,Wolter Paans",BMC Nursing,2022
